ImageName	GPS_SOD	CAM
CAM13-20220716140325_002-1.tif	50623.002000	13
CAM39-20220716140325_002-1.tif	50623.002000	39
CAM75-20220716140325_002-1.tif	50623.002000	75
CAM82-20220716140325_002-1.tif	50623.002000	82
CAM13-20220716140326_000-2.tif	50624.000000	13
CAM39-20220716140326_000-2.tif	50624.000000	39
CAM75-20220716140326_000-2.tif	50624.000000	75
CAM82-20220716140326_000-2.tif	50624.000000	82
CAM13-20220716140327_000-3.tif	50625.000000	13
CAM39-20220716140327_000-3.tif	50625.000000	39
CAM75-20220716140327_000-3.tif	50625.000000	75
CAM82-20220716140327_000-3.tif	50625.000000	82
CAM13-20220716140328_000-4.tif	50626.000000	13
CAM39-20220716140328_000-4.tif	50626.000000	39
CAM75-20220716140328_000-4.tif	50626.000000	75
CAM82-20220716140328_000-4.tif	50626.000000	82
CAM13-20220716140329_000-5.tif	50627.000000	13
CAM39-20220716140329_000-5.tif	50627.000000	39
CAM75-20220716140329_000-5.tif	50627.000000	75
CAM82-20220716140329_000-5.tif	50627.000000	82
CAM13-20220716140330_000-6.tif	50628.000000	13
CAM39-20220716140330_000-6.tif	50628.000000	39
CAM75-20220716140330_000-6.tif	50628.000000	75
CAM82-20220716140330_000-6.tif	50628.000000	82
CAM13-20220716140331_000-7.tif	50629.000000	13
CAM39-20220716140331_000-7.tif	50629.000000	39
CAM75-20220716140331_000-7.tif	50629.000000	75
CAM82-20220716140331_000-7.tif	50629.000000	82
CAM13-20220716140332_000-8.tif	50630.000000	13
CAM39-20220716140332_000-8.tif	50630.000000	39
CAM75-20220716140332_000-8.tif	50630.000000	75
CAM82-20220716140332_000-8.tif	50630.000000	82
CAM13-20220716140333_000-9.tif	50631.000000	13
CAM39-20220716140333_000-9.tif	50631.000000	39
CAM75-20220716140333_000-9.tif	50631.000000	75
CAM82-20220716140333_000-9.tif	50631.000000	82
CAM13-20220716140334_000-10.tif	50632.000000	13
CAM39-20220716140334_000-10.tif	50632.000000	39
CAM75-20220716140334_000-10.tif	50632.000000	75
CAM82-20220716140334_000-10.tif	50632.000000	82
CAM13-20220716140335_000-11.tif	50633.000000	13
CAM39-20220716140335_000-11.tif	50633.000000	39
CAM75-20220716140335_000-11.tif	50633.000000	75
CAM82-20220716140335_000-11.tif	50633.000000	82
CAM13-20220716140336_000-12.tif	50634.000000	13
CAM39-20220716140336_000-12.tif	50634.000000	39
CAM75-20220716140336_000-12.tif	50634.000000	75
CAM82-20220716140336_000-12.tif	50634.000000	82
CAM13-20220716140337_000-13.tif	50635.000000	13
CAM39-20220716140337_000-13.tif	50635.000000	39
CAM75-20220716140337_000-13.tif	50635.000000	75
CAM82-20220716140337_000-13.tif	50635.000000	82
CAM13-20220716140338_000-14.tif	50636.000000	13
CAM39-20220716140338_000-14.tif	50636.000000	39
CAM75-20220716140338_000-14.tif	50636.000000	75
CAM82-20220716140338_000-14.tif	50636.000000	82
CAM13-20220716140339_000-15.tif	50637.000000	13
CAM39-20220716140339_000-15.tif	50637.000000	39
CAM75-20220716140339_000-15.tif	50637.000000	75
CAM82-20220716140339_000-15.tif	50637.000000	82
CAM13-20220716140340_000-16.tif	50638.000000	13
CAM39-20220716140340_000-16.tif	50638.000000	39
CAM75-20220716140340_000-16.tif	50638.000000	75
CAM82-20220716140340_000-16.tif	50638.000000	82
CAM13-20220716140341_000-17.tif	50639.000000	13
CAM39-20220716140341_000-17.tif	50639.000000	39
CAM75-20220716140341_000-17.tif	50639.000000	75
CAM82-20220716140341_000-17.tif	50639.000000	82
CAM13-20220716140341_989-18.tif	50639.989000	13
CAM39-20220716140341_989-18.tif	50639.989000	39
CAM75-20220716140341_989-18.tif	50639.989000	75
CAM82-20220716140341_989-18.tif	50639.989000	82
CAM13-20220716140342_989-19.tif	50640.989000	13
CAM39-20220716140342_989-19.tif	50640.989000	39
CAM75-20220716140342_989-19.tif	50640.989000	75
CAM82-20220716140342_989-19.tif	50640.989000	82
CAM13-20220716140343_989-20.tif	50641.989000	13
CAM39-20220716140343_989-20.tif	50641.989000	39
CAM75-20220716140343_989-20.tif	50641.989000	75
CAM82-20220716140343_989-20.tif	50641.989000	82
CAM13-20220716140344_989-21.tif	50642.989000	13
CAM39-20220716140344_989-21.tif	50642.989000	39
CAM75-20220716140344_989-21.tif	50642.989000	75
CAM82-20220716140344_989-21.tif	50642.989000	82
CAM13-20220716140345_989-22.tif	50643.989000	13
CAM39-20220716140345_989-22.tif	50643.989000	39
CAM75-20220716140345_989-22.tif	50643.989000	75
CAM82-20220716140345_989-22.tif	50643.989000	82
CAM13-20220716140346_989-23.tif	50644.989000	13
CAM39-20220716140346_989-23.tif	50644.989000	39
CAM75-20220716140346_989-23.tif	50644.989000	75
CAM82-20220716140346_989-23.tif	50644.989000	82
CAM13-20220716140347_989-24.tif	50645.989000	13
CAM39-20220716140347_989-24.tif	50645.989000	39
CAM75-20220716140347_989-24.tif	50645.989000	75
CAM82-20220716140347_989-24.tif	50645.989000	82
CAM13-20220716140348_989-25.tif	50646.989000	13
CAM39-20220716140348_989-25.tif	50646.989000	39
CAM75-20220716140348_989-25.tif	50646.989000	75
CAM82-20220716140348_989-25.tif	50646.989000	82
CAM13-20220716140349_989-26.tif	50647.989000	13
CAM39-20220716140349_989-26.tif	50647.989000	39
CAM75-20220716140349_989-26.tif	50647.989000	75
CAM82-20220716140349_989-26.tif	50647.989000	82
CAM13-20220716140350_989-27.tif	50648.989000	13
CAM39-20220716140350_989-27.tif	50648.989000	39
CAM75-20220716140350_989-27.tif	50648.989000	75
CAM82-20220716140350_989-27.tif	50648.989000	82
CAM13-20220716140351_989-28.tif	50649.989000	13
CAM39-20220716140351_989-28.tif	50649.989000	39
CAM75-20220716140351_989-28.tif	50649.989000	75
CAM82-20220716140351_989-28.tif	50649.989000	82
CAM13-20220716140352_989-29.tif	50650.989000	13
CAM39-20220716140352_989-29.tif	50650.989000	39
CAM75-20220716140352_989-29.tif	50650.989000	75
CAM82-20220716140352_989-29.tif	50650.989000	82
CAM13-20220716140353_989-30.tif	50651.989000	13
CAM39-20220716140353_989-30.tif	50651.989000	39
CAM75-20220716140353_989-30.tif	50651.989000	75
CAM82-20220716140353_989-30.tif	50651.989000	82
CAM13-20220716140354_989-31.tif	50652.989000	13
CAM39-20220716140354_989-31.tif	50652.989000	39
CAM75-20220716140354_989-31.tif	50652.989000	75
CAM82-20220716140354_989-31.tif	50652.989000	82
CAM13-20220716140355_989-32.tif	50653.989000	13
CAM39-20220716140355_989-32.tif	50653.989000	39
CAM75-20220716140355_989-32.tif	50653.989000	75
CAM82-20220716140355_989-32.tif	50653.989000	82
CAM13-20220716140356_989-33.tif	50654.989000	13
CAM39-20220716140356_989-33.tif	50654.989000	39
CAM75-20220716140356_989-33.tif	50654.989000	75
CAM82-20220716140356_989-33.tif	50654.989000	82
CAM13-20220716140357_989-34.tif	50655.989000	13
CAM39-20220716140357_989-34.tif	50655.989000	39
CAM75-20220716140357_989-34.tif	50655.989000	75
CAM82-20220716140357_989-34.tif	50655.989000	82
CAM13-20220716140358_989-35.tif	50656.989000	13
CAM39-20220716140358_989-35.tif	50656.989000	39
CAM75-20220716140358_989-35.tif	50656.989000	75
CAM82-20220716140358_989-35.tif	50656.989000	82
CAM13-20220716140359_989-36.tif	50657.989000	13
CAM39-20220716140359_989-36.tif	50657.989000	39
CAM75-20220716140359_989-36.tif	50657.989000	75
CAM82-20220716140359_989-36.tif	50657.989000	82
CAM13-20220716140400_989-37.tif	50658.989000	13
CAM39-20220716140400_989-37.tif	50658.989000	39
CAM75-20220716140400_989-37.tif	50658.989000	75
CAM82-20220716140400_989-37.tif	50658.989000	82
CAM13-20220716140401_989-38.tif	50659.989000	13
CAM39-20220716140401_989-38.tif	50659.989000	39
CAM75-20220716140401_989-38.tif	50659.989000	75
CAM82-20220716140401_989-38.tif	50659.989000	82
CAM13-20220716140402_989-39.tif	50660.989000	13
CAM39-20220716140402_989-39.tif	50660.989000	39
CAM75-20220716140402_989-39.tif	50660.989000	75
CAM82-20220716140402_989-39.tif	50660.989000	82
CAM13-20220716140403_989-40.tif	50661.989000	13
CAM39-20220716140403_989-40.tif	50661.989000	39
CAM75-20220716140403_989-40.tif	50661.989000	75
CAM82-20220716140403_989-40.tif	50661.989000	82
CAM13-20220716140404_989-41.tif	50662.989000	13
CAM39-20220716140404_989-41.tif	50662.989000	39
CAM75-20220716140404_989-41.tif	50662.989000	75
CAM82-20220716140404_989-41.tif	50662.989000	82
CAM13-20220716140405_989-42.tif	50663.989000	13
CAM39-20220716140405_989-42.tif	50663.989000	39
CAM75-20220716140405_989-42.tif	50663.989000	75
CAM82-20220716140405_989-42.tif	50663.989000	82
CAM13-20220716140406_989-43.tif	50664.989000	13
CAM39-20220716140406_989-43.tif	50664.989000	39
CAM75-20220716140406_989-43.tif	50664.989000	75
CAM82-20220716140406_989-43.tif	50664.989000	82
CAM13-20220716140407_989-44.tif	50665.989000	13
CAM39-20220716140407_989-44.tif	50665.989000	39
CAM75-20220716140407_989-44.tif	50665.989000	75
CAM82-20220716140407_989-44.tif	50665.989000	82
CAM13-20220716140408_989-45.tif	50666.989000	13
CAM39-20220716140408_989-45.tif	50666.989000	39
CAM75-20220716140408_989-45.tif	50666.989000	75
CAM82-20220716140408_989-45.tif	50666.989000	82
CAM13-20220716140409_989-46.tif	50667.989000	13
CAM39-20220716140409_989-46.tif	50667.989000	39
CAM75-20220716140409_989-46.tif	50667.989000	75
CAM82-20220716140409_989-46.tif	50667.989000	82
CAM13-20220716140410_989-47.tif	50668.989000	13
CAM39-20220716140410_989-47.tif	50668.989000	39
CAM75-20220716140410_989-47.tif	50668.989000	75
CAM82-20220716140410_989-47.tif	50668.989000	82
CAM13-20220716140411_989-48.tif	50669.989000	13
CAM39-20220716140411_989-48.tif	50669.989000	39
CAM75-20220716140411_989-48.tif	50669.989000	75
CAM82-20220716140411_989-48.tif	50669.989000	82
CAM13-20220716140412_989-49.tif	50670.989000	13
CAM39-20220716140412_989-49.tif	50670.989000	39
CAM75-20220716140412_989-49.tif	50670.989000	75
CAM82-20220716140412_989-49.tif	50670.989000	82
CAM13-20220716140413_989-50.tif	50671.989000	13
CAM39-20220716140413_989-50.tif	50671.989000	39
CAM75-20220716140413_989-50.tif	50671.989000	75
CAM82-20220716140413_989-50.tif	50671.989000	82
CAM13-20220716140414_989-51.tif	50672.989000	13
CAM39-20220716140414_989-51.tif	50672.989000	39
CAM75-20220716140414_989-51.tif	50672.989000	75
CAM82-20220716140414_989-51.tif	50672.989000	82
CAM13-20220716140415_989-52.tif	50673.989000	13
CAM39-20220716140415_989-52.tif	50673.989000	39
CAM75-20220716140415_989-52.tif	50673.989000	75
CAM82-20220716140415_989-52.tif	50673.989000	82
CAM13-20220716140416_989-53.tif	50674.989000	13
CAM39-20220716140416_989-53.tif	50674.989000	39
CAM75-20220716140416_989-53.tif	50674.989000	75
CAM82-20220716140416_989-53.tif	50674.989000	82
CAM13-20220716140417_989-54.tif	50675.989000	13
CAM39-20220716140417_989-54.tif	50675.989000	39
CAM75-20220716140417_989-54.tif	50675.989000	75
CAM82-20220716140417_989-54.tif	50675.989000	82
CAM13-20220716140418_989-55.tif	50676.989000	13
CAM39-20220716140418_989-55.tif	50676.989000	39
CAM75-20220716140418_989-55.tif	50676.989000	75
CAM82-20220716140418_989-55.tif	50676.989000	82
CAM13-20220716140419_989-56.tif	50677.989000	13
CAM39-20220716140419_989-56.tif	50677.989000	39
CAM75-20220716140419_989-56.tif	50677.989000	75
CAM82-20220716140419_989-56.tif	50677.989000	82
CAM13-20220716140420_989-57.tif	50678.989000	13
CAM39-20220716140420_989-57.tif	50678.989000	39
CAM75-20220716140420_989-57.tif	50678.989000	75
CAM82-20220716140420_989-57.tif	50678.989000	82
CAM13-20220716140421_989-58.tif	50679.989000	13
CAM39-20220716140421_989-58.tif	50679.989000	39
CAM75-20220716140421_989-58.tif	50679.989000	75
CAM82-20220716140421_989-58.tif	50679.989000	82
CAM13-20220716140422_989-59.tif	50680.989000	13
CAM39-20220716140422_989-59.tif	50680.989000	39
CAM75-20220716140422_989-59.tif	50680.989000	75
CAM82-20220716140422_989-59.tif	50680.989000	82
CAM13-20220716140423_989-60.tif	50681.989000	13
CAM39-20220716140423_989-60.tif	50681.989000	39
CAM75-20220716140423_989-60.tif	50681.989000	75
CAM82-20220716140423_989-60.tif	50681.989000	82
CAM13-20220716140424_989-61.tif	50682.989000	13
CAM39-20220716140424_989-61.tif	50682.989000	39
CAM75-20220716140424_989-61.tif	50682.989000	75
CAM82-20220716140424_989-61.tif	50682.989000	82
CAM13-20220716140425_989-62.tif	50683.989000	13
CAM39-20220716140425_989-62.tif	50683.989000	39
CAM75-20220716140425_989-62.tif	50683.989000	75
CAM82-20220716140425_989-62.tif	50683.989000	82
CAM13-20220716140426_989-63.tif	50684.989000	13
CAM39-20220716140426_989-63.tif	50684.989000	39
CAM75-20220716140426_989-63.tif	50684.989000	75
CAM82-20220716140426_989-63.tif	50684.989000	82
CAM13-20220716140427_989-64.tif	50685.989000	13
CAM39-20220716140427_989-64.tif	50685.989000	39
CAM75-20220716140427_989-64.tif	50685.989000	75
CAM82-20220716140427_989-64.tif	50685.989000	82
CAM13-20220716140428_989-65.tif	50686.989000	13
CAM39-20220716140428_989-65.tif	50686.989000	39
CAM75-20220716140428_989-65.tif	50686.989000	75
CAM82-20220716140428_989-65.tif	50686.989000	82
CAM13-20220716140429_989-66.tif	50687.989000	13
CAM39-20220716140429_989-66.tif	50687.989000	39
CAM75-20220716140429_989-66.tif	50687.989000	75
CAM82-20220716140429_989-66.tif	50687.989000	82
CAM13-20220716140430_989-67.tif	50688.989000	13
CAM39-20220716140430_989-67.tif	50688.989000	39
CAM75-20220716140430_989-67.tif	50688.989000	75
CAM82-20220716140430_989-67.tif	50688.989000	82
CAM13-20220716140431_989-68.tif	50689.989000	13
CAM39-20220716140431_989-68.tif	50689.989000	39
CAM75-20220716140431_989-68.tif	50689.989000	75
CAM82-20220716140431_989-68.tif	50689.989000	82
CAM13-20220716140432_989-69.tif	50690.989000	13
CAM39-20220716140432_989-69.tif	50690.989000	39
CAM75-20220716140432_989-69.tif	50690.989000	75
CAM82-20220716140432_989-69.tif	50690.989000	82
CAM13-20220716140433_989-70.tif	50691.989000	13
CAM39-20220716140433_989-70.tif	50691.989000	39
CAM75-20220716140433_989-70.tif	50691.989000	75
CAM82-20220716140433_989-70.tif	50691.989000	82
CAM13-20220716140434_989-71.tif	50692.989000	13
CAM39-20220716140434_989-71.tif	50692.989000	39
CAM75-20220716140434_989-71.tif	50692.989000	75
CAM82-20220716140434_989-71.tif	50692.989000	82
CAM13-20220716140435_989-72.tif	50693.989000	13
CAM39-20220716140435_989-72.tif	50693.989000	39
CAM75-20220716140435_989-72.tif	50693.989000	75
CAM82-20220716140435_989-72.tif	50693.989000	82
CAM13-20220716140436_989-73.tif	50694.989000	13
CAM39-20220716140436_989-73.tif	50694.989000	39
CAM75-20220716140436_989-73.tif	50694.989000	75
CAM82-20220716140436_989-73.tif	50694.989000	82
CAM13-20220716140437_989-74.tif	50695.989000	13
CAM39-20220716140437_989-74.tif	50695.989000	39
CAM75-20220716140437_989-74.tif	50695.989000	75
CAM82-20220716140437_989-74.tif	50695.989000	82
CAM13-20220716140438_989-75.tif	50696.989000	13
CAM39-20220716140438_989-75.tif	50696.989000	39
CAM75-20220716140438_989-75.tif	50696.989000	75
CAM82-20220716140438_989-75.tif	50696.989000	82
CAM13-20220716140439_989-76.tif	50697.989000	13
CAM39-20220716140439_989-76.tif	50697.989000	39
CAM75-20220716140439_989-76.tif	50697.989000	75
CAM82-20220716140439_989-76.tif	50697.989000	82
CAM13-20220716140440_989-77.tif	50698.989000	13
CAM39-20220716140440_989-77.tif	50698.989000	39
CAM75-20220716140440_989-77.tif	50698.989000	75
CAM82-20220716140440_989-77.tif	50698.989000	82
CAM13-20220716140441_989-78.tif	50699.989000	13
CAM39-20220716140441_989-78.tif	50699.989000	39
CAM75-20220716140441_989-78.tif	50699.989000	75
CAM82-20220716140441_989-78.tif	50699.989000	82
CAM13-20220716140442_989-79.tif	50700.989000	13
CAM39-20220716140442_989-79.tif	50700.989000	39
CAM75-20220716140442_989-79.tif	50700.989000	75
CAM82-20220716140442_989-79.tif	50700.989000	82
CAM13-20220716140443_989-80.tif	50701.989000	13
CAM39-20220716140443_989-80.tif	50701.989000	39
CAM75-20220716140443_989-80.tif	50701.989000	75
CAM82-20220716140443_989-80.tif	50701.989000	82
CAM13-20220716140444_989-81.tif	50702.989000	13
CAM39-20220716140444_989-81.tif	50702.989000	39
CAM75-20220716140444_989-81.tif	50702.989000	75
CAM82-20220716140444_989-81.tif	50702.989000	82
CAM13-20220716140445_989-82.tif	50703.989000	13
CAM39-20220716140445_989-82.tif	50703.989000	39
CAM75-20220716140445_989-82.tif	50703.989000	75
CAM82-20220716140445_989-82.tif	50703.989000	82
CAM13-20220716140446_989-83.tif	50704.989000	13
CAM39-20220716140446_989-83.tif	50704.989000	39
CAM75-20220716140446_989-83.tif	50704.989000	75
CAM82-20220716140446_989-83.tif	50704.989000	82
CAM13-20220716140447_989-84.tif	50705.989000	13
CAM39-20220716140447_989-84.tif	50705.989000	39
CAM75-20220716140447_989-84.tif	50705.989000	75
